dataset,best_estimator,predicted_estimator,rmse
AcousticContaminationMadrid-no-missing,FreshPRINCE,DrCIF,4.1199961019160645
AluminiumConcentration,RotF,DrCIF,245.19294513116984
AppliancesEnergy,FreshPRINCE,FreshPRINCE,2.053976349973669
BIDMC32HR,InceptionE,InceptionE,0.5783942758742192
BIDMC32RR,MultiROCKET,InceptionE,0.4994493877436099
BIDMC32SpO2,InceptionE,InceptionE,0.2868729593311348
BarCrawl6min,DrCIF,FreshPRINCE,0.045652221352232
BeijingIntAirportPM25Quality,RotF,InceptionE,50.83428843214202
BeijingPM10Quality-no-missing,InceptionE,InceptionE,63.84826493657735
BeijingPM25Quality-no-missing,InceptionE,InceptionE,40.36065176690217
BenzeneConcentration-no-missing,InceptionE,FreshPRINCE,2.1322540552978704
BinanceCoinSentiment,DrCIF,DrCIF,0.3448161943769282
BitcoinSentiment,DrCIF,DrCIF,0.1970547955872114
BoronConcentration,InceptionE,DrCIF,1.762709178544213
CalciumConcentration,RotF,MultiROCKET,2050.0483364474176
CardanoSentiment,RandF,DrCIF,0.2973890029669043
ChilledWaterPredictor,InceptionE,InceptionE,2146.7498911895887
CopperConcentration,DrCIF,RotF,1.863294371383796
Covid19Andalusia,FreshPRINCE,FreshPRINCE,0.0126102784616001
Covid3Month,FreshPRINCE,TSF,0.0389510199071859
DailyOilGasPrices,FreshPRINCE,DrCIF,1.5944423247384338
DailyTemperatureLatitude,InceptionE,InceptionE,1.6159740412763297
DhakaHourlyAirQuality,FreshPRINCE,DrCIF,3.1710198556711484
ElectricMotorTemperature,FreshPRINCE,FreshPRINCE,4.650170189747159
ElectricityPredictor,RandF,InceptionE,589.4681400820284
EthereumSentiment,DrCIF,DrCIF,0.2234477453573485
FloodModeling1,InceptionE,MultiROCKET,0.0116173312567744
FloodModeling2,MultiROCKET,InceptionE,0.0054770253620852
FloodModeling3,MultiROCKET,InceptionE,0.0063612726587229
GasSensorArrayAcetone,MultiROCKET,RotF,0.1930651298843828
GasSensorArrayEthanol,RotF,MultiROCKET,0.1566687944991748
HotwaterPredictor,InceptionE,InceptionE,1156.251419929819
HouseholdPowerConsumption1-no-missing,FreshPRINCE,MultiROCKET,148.00899903915354
HouseholdPowerConsumption2-no-missing,MultiROCKET,FreshPRINCE,29.39287417621664
IEEEPPG,InceptionE,InceptionE,3.698176360187517
IronConcentration,MultiROCKET,RotF,61.92113524676817
LPGasMonitoringHomeActivity,DrCIF,DrCIF,1.2620080684903343
LiveFuelMoistureContent,DrCIF,InceptionE,44.80283900848645
MadridPM10Quality-no-missing,InceptionE,InceptionE,6.951213912653612
MagnesiumConcentration,InceptionE,DrCIF,160.8196348733945
ManganeseConcentration,RotF,DrCIF,81.28308456910825
MethaneMonitoringHomeActivity,DrCIF,DrCIF,0.5052408126660775
MetroInterstateTrafficVolume,DrCIF,RotF,567.4640098053052
NaturalGasPricesSentiment,TSF,DrCIF,0.0596807425160855
NewsHeadlineSentiment,TSF,TSF,0.142229707280456
NewsTitleSentiment,TSF,TSF,0.1371251077023674
OccupancyDetectionLight,FreshPRINCE,FreshPRINCE,67.10728354862029
PPGDalia-equal-length,InceptionE,InceptionE,6.680548130643419
ParkingBirmingham-equal-length,RotF,DrCIF,0.1169744742740565
PhosphorusConcentration,InceptionE,InceptionE,17.76582541053559
PotassiumConcentration,DrCIF,InceptionE,172.41864902727548
PrecipitationAndalusia-no-missing,ROCKET,FreshPRINCE,0.3612929521146245
SierraNevadaMountainsSnow,InceptionE,FreshPRINCE,36.92058234457665
SodiumConcentration,DrCIF,RotF,652.7057211233224
SolarRadiationAndalusia-no-missing,FreshPRINCE,InceptionE,0.654304060278608
SteamPredictor,InceptionE,InceptionE,29704.370205910363
SulphurConcentration,DrCIF,MultiROCKET,213.84970055401263
TetuanEnergyConsumption,DrCIF,FreshPRINCE,1283.482888464013
VentilatorPressure,InceptionE,FreshPRINCE,0.6015145405477885
WaveDataTension,FreshPRINCE,RotF,15.21209346911326
WindTurbinePower,FreshPRINCE,FreshPRINCE,44.65780016793407
ZincConcentration,MultiROCKET,RotF,1.5099114329295416
